date	sum
2016-01-01T00:00:00.000Z	11274118
2016-04-01T00:00:00.000Z	15516249
2016-07-01T00:00:00.000Z	18429815
2016-10-01T00:00:00.000Z	19295806
2017-01-01T00:00:00.000Z	23250981
2017-04-01T00:00:00.000Z	81302763
2017-07-01T00:00:00.000Z	112836085
2017-10-01T00:00:00.000Z	128449452
2018-01-01T00:00:00.000Z	155208531
2018-04-01T00:00:00.000Z	144620408
2018-07-01T00:00:00.000Z	98641431
2018-10-01T00:00:00.000Z	76515140
